"record type","record ID","warning"
"entities","western-turkic-khaganate","Нет связанных источников."
"entities","western-turkic-khaganate","Требуется научная проверка источников, периода или геометрии."
"entities","turgesh-khaganate","Нет связанных источников."
"entities","turgesh-khaganate","Требуется научная проверка источников, периода или геометрии."
"entities","karluk-state","Нет связанных источников."
"entities","karluk-state","Требуется научная проверка источников, периода или геометрии."
"entities","oghuz-state","Нет связанных источников."
"entities","oghuz-state","Требуется научная проверка источников, периода или геометрии."
"entities","kimak-khaganate","Нет связанных источников."
"entities","kimak-khaganate","Требуется научная проверка источников, периода или геометрии."
"entities","karakhanid-state","Нет связанных источников."
"entities","karakhanid-state","Требуется научная проверка источников, периода или геометрии."
"entities","abulkhair-state","Нет связанных источников."
"entities","abulkhair-state","Требуется научная проверка источников, периода или геометрии."
"entities","moghulistan","Нет связанных источников."
"entities","moghulistan","Требуется научная проверка источников, периода или геометрии."
"entities","nogai-horde","Нет связанных источников."
"entities","nogai-horde","Требуется научная проверка источников, периода или геометрии."
"entities","timurid-state","Нет связанных источников."
"entities","timurid-state","Требуется научная проверка источников, периода или геометрии."
"entities","sibir-khanate","Нет связанных источников."
"entities","sibir-khanate","Требуется научная проверка источников, периода или геометрии."
"entities","dzungar-khanate","Нет связанных источников."
"entities","dzungar-khanate","Требуется научная проверка источников, периода или геометрии."
"entities","bukhara-khanate","Нет связанных источников."
"entities","bukhara-khanate","Требуется научная проверка источников, периода или геометрии."
"entities","khiva-khanate","Нет связанных источников."
"entities","khiva-khanate","Требуется научная проверка источников, периода или геометрии."
"entities","russian-empire","Нет связанных источников."
"entities","russian-empire","Требуется научная проверка источников, периода или геометрии."
"entities","qing-empire","Нет связанных источников."
"entities","qing-empire","Требуется научная проверка источников, периода или геометрии."
"geometries","western-turkic-604","Нет связанных источников."
"geometries","western-turkic-604","Учебная реконструкция: требуется явная маркировка неопределённости."
"geometries","turgesh-704","Нет связанных источников."
"geometries","turgesh-704","Учебная реконструкция: требуется явная маркировка неопределённости."
"geometries","karluk-756","Нет связанных источников."
"geometries","karluk-756","Учебная реконструкция: требуется явная маркировка неопределённости."
"geometries","oghuz-756","Нет связанных источников."
"geometries","oghuz-756","Учебная реконструкция: требуется явная маркировка неопределённости."
"geometries","kimak-840","Нет связанных источников."
"geometries","kimak-840","Учебная реконструкция: требуется явная маркировка неопределённости."
"geometries","karakhanid-840","Нет связанных источников."
"geometries","karakhanid-840","Учебная реконструкция: требуется явная маркировка неопределённости."
"geometries","abulkhair-1428","Нет связанных источников."
"geometries","abulkhair-1428","Учебная реконструкция: требуется явная маркировка неопределённости."
"geometries","moghulistan-1347","Нет связанных источников."
"geometries","moghulistan-1347","Учебная реконструкция: требуется явная маркировка неопределённости."
"geometries","nogai-1440","Нет связанных источников."
"geometries","nogai-1440","Учебная реконструкция: требуется явная маркировка неопределённости."
"geometries","timurid-1370","Нет связанных источников."
"geometries","timurid-1370","Учебная реконструкция: требуется явная маркировка неопределённости."
"geometries","sibir-1468","Нет связанных источников."
"geometries","sibir-1468","Учебная реконструкция: требуется явная маркировка неопределённости."
"geometries","khanate-1522","Нет связанных источников."
"geometries","khanate-1522","Учебная реконструкция: требуется явная маркировка неопределённости."
"geometries","khanate-1635","Нет связанных источников."
"geometries","khanate-1635","Учебная реконструкция: требуется явная маркировка неопределённости."
"geometries","khanate-1723","Нет связанных источников."
"geometries","khanate-1723","Учебная реконструкция: требуется явная маркировка неопределённости."
"geometries","khanate-1731","Нет связанных источников."
"geometries","khanate-1731","Учебная реконструкция: требуется явная маркировка неопределённости."
"geometries","dzungar-1635","Нет связанных источников."
"geometries","dzungar-1635","Учебная реконструкция: требуется явная маркировка неопределённости."
"geometries","bukhara-1500","Нет связанных источников."
"geometries","bukhara-1500","Учебная реконструкция: требуется явная маркировка неопределённости."
"geometries","khiva-1511","Нет связанных источников."
"geometries","khiva-1511","Учебная реконструкция: требуется явная маркировка неопределённости."
"geometries","russian-1721","Нет связанных источников."
"geometries","russian-1721","Учебная реконструкция: требуется явная маркировка неопределённости."
"geometries","qing-1644","Нет связанных источников."
"geometries","qing-1644","Учебная реконструкция: требуется явная маркировка неопределённости."
"labels","saka-label","Нет связанных источников."
"labels","saka-label","Требуется научная проверка источников, периода или геометрии."
"labels","first-turkic-label","Нет связанных источников."
"labels","first-turkic-label","Требуется научная проверка источников, периода или геометрии."
"labels","western-turkic-label","Нет связанных источников."
"labels","western-turkic-label","Требуется научная проверка источников, периода или геометрии."
"labels","turgesh-label","Нет связанных источников."
"labels","turgesh-label","Требуется научная проверка источников, периода или геометрии."
"labels","karluk-label","Нет связанных источников."
"labels","karluk-label","Требуется научная проверка источников, периода или геометрии."
"labels","oghuz-label","Нет связанных источников."
"labels","oghuz-label","Требуется научная проверка источников, периода или геометрии."
"labels","kimak-label","Нет связанных источников."
"labels","kimak-label","Требуется научная проверка источников, периода или геометрии."
"labels","karakhanid-label","Нет связанных источников."
"labels","karakhanid-label","Требуется научная проверка источников, периода или геометрии."
"labels","kazakh-1465-label","Нет связанных источников."
"labels","kazakh-1465-label","Требуется научная проверка источников, периода или геометрии."
"labels","kazakh-1510-label","Нет связанных источников."
"labels","kazakh-1510-label","Требуется научная проверка источников, периода или геометрии."
"labels","kazakh-1513-label","Нет связанных источников."
"labels","kazakh-1513-label","Требуется научная проверка источников, периода или геометрии."
"labels","kazakh-late-label","Нет связанных источников."
"labels","kazakh-late-label","Требуется научная проверка источников, периода или геометрии."
"labels","abulkhair-label","Нет связанных источников."
"labels","abulkhair-label","Требуется научная проверка источников, периода или геометрии."
"labels","moghulistan-label","Нет связанных источников."
"labels","moghulistan-label","Требуется научная проверка источников, периода или геометрии."
"labels","nogai-label","Нет связанных источников."
"labels","nogai-label","Требуется научная проверка источников, периода или геометрии."
"labels","timurid-label","Нет связанных источников."
"labels","timurid-label","Требуется научная проверка источников, периода или геометрии."
"labels","sibir-label","Нет связанных источников."
"labels","sibir-label","Требуется научная проверка источников, периода или геометрии."
"labels","dzungar-label","Нет связанных источников."
"labels","dzungar-label","Требуется научная проверка источников, периода или геометрии."
"labels","bukhara-label","Нет связанных источников."
"labels","bukhara-label","Требуется научная проверка источников, периода или геометрии."
"labels","khiva-label","Нет связанных источников."
"labels","khiva-label","Требуется научная проверка источников, периода или геометрии."
"labels","russian-label","Нет связанных источников."
"labels","russian-label","Требуется научная проверка источников, периода или геометрии."
"labels","qing-label","Нет связанных источников."
"labels","qing-label","Требуется научная проверка источников, периода или геометрии."
"labels","kazakh-ssr-label","Нет связанных источников."
"labels","kazakh-ssr-label","Требуется научная проверка источников, периода или геометрии."
"labels","republic-label","Нет связанных источников."
"labels","republic-label","Требуется научная проверка источников, периода или геометрии."
"events","saka-archaeological-record","Требуется научная проверка источников, периода или геометрии."
"events","formation-turkic-khaganate","Требуется научная проверка источников, периода или геометрии."
"events","formation-kazakh-khanate","Требуется научная проверка источников, периода или геометрии."
"events","kasym-khan-consolidation","Требуется научная проверка источников, периода или геометрии."
"events","kazakh-ssr-status","Требуется научная проверка источников, периода или геометрии."
"events","independence-kazakhstan","Требуется научная проверка источников, периода или геометрии."
"people","bumin-qaghan","Требуется научная проверка источников, периода или геометрии."
"people","kerei-khan","Требуется научная проверка источников, периода или геометрии."
"people","janibek-khan","Требуется научная проверка источников, периода или геометрии."
"people","kasym-khan","Требуется научная проверка источников, периода или геометрии."
"places","taraz","Учебная реконструкция: требуется явная маркировка неопределённости."
"places","otrar","Учебная реконструкция: требуется явная маркировка неопределённости."
"places","sayram","Учебная реконструкция: требуется явная маркировка неопределённости."
"places","turkistan","Учебная реконструкция: требуется явная маркировка неопределённости."
"places","syganak","Учебная реконструкция: требуется явная маркировка неопределённости."
"places","saraishyk","Учебная реконструкция: требуется явная маркировка неопределённости."
"places","balasagun","Учебная реконструкция: требуется явная маркировка неопределённости."
"places","ispidjab","Учебная реконструкция: требуется явная маркировка неопределённости."
"routes","silk-road-southern-kazakhstan","Учебная реконструкция: требуется явная маркировка неопределённости."
"routes","nomadic-seasonal-cycle-demo","Нет связанных источников."
"routes","nomadic-seasonal-cycle-demo","Учебная реконструкция: требуется явная маркировка неопределённости."
"routeSegments","silk-sayram-taraz","Требуется научная проверка источников, периода или геометрии."
"routeSegments","silk-taraz-otrar","Требуется научная проверка источников, периода или геометрии."
"routeSegments","silk-otrar-turkistan","Требуется научная проверка источников, периода или геометрии."
"routeSegments","silk-turkistan-syganak","Требуется научная проверка источников, периода или геометрии."
"environment","southern-steppe-medieval-demo","Учебная реконструкция: требуется явная маркировка неопределённости."
"environment","tian-shan-foothills-medieval-demo","Только демонстрационная структура, не подтверждённый факт."
"environment","syr-darya-valley-medieval-demo","Учебная реконструкция: требуется явная маркировка неопределённости."
"hydrology","aral-sea-historical-coarse","Нет связанных источников."
"hydrology","aral-sea-historical-coarse","Учебная реконструкция: требуется явная маркировка неопределённости."
"hydrology","aral-sea-circa-1960-demo","Нет связанных источников."
"hydrology","aral-sea-circa-1960-demo","Только демонстрационная структура, не подтверждённый факт."
"hydrology","aral-sea-circa-1985-demo","Нет связанных источников."
"hydrology","aral-sea-circa-1985-demo","Учебная реконструкция: требуется явная маркировка неопределённости."
"hydrology","aral-sea-circa-2000-demo","Нет связанных источников."
"hydrology","aral-sea-circa-2000-demo","Учебная реконструкция: требуется явная маркировка неопределённости."
"hydrology","aral-sea-circa-2010-demo","Нет связанных источников."
"hydrology","aral-sea-circa-2010-demo","Учебная реконструкция: требуется явная маркировка неопределённости."
"hydrology","aral-sea-modern-demo","Нет связанных источников."
"hydrology","aral-sea-modern-demo","Учебная реконструкция: требуется явная маркировка неопределённости."
"rivers","syr-darya-medieval","Учебная реконструкция: требуется явная маркировка неопределённости."
"rivers","ili-medieval","Учебная реконструкция: требуется явная маркировка неопределённости."
"rivers","irtysh-medieval","Учебная реконструкция: требуется явная маркировка неопределённости."
"rivers","ural-medieval","Учебная реконструкция: требуется явная маркировка неопределённости."
"rivers","chu-medieval","Учебная реконструкция: требуется явная маркировка неопределённости."
"rivers","talas-medieval","Учебная реконструкция: требуется явная маркировка неопределённости."
"archiveMaps","future-institutional-archive-placeholder","Лицензия не установлена."
"archiveMaps","future-institutional-archive-placeholder","Требуется научная проверка источников, периода или геометрии."
"claims","claim-khanate-1465-territory","Требуется научная проверка источников, периода или геометрии."
"claims","claim-otrar-location","Требуется научная проверка источников, периода или геометрии."
"claims","claim-silk-road-direction","Требуется научная проверка источников, периода или геометрии."
"claims","claim-steppe-demo-status","Требуется научная проверка источников, периода или геометрии."
"claims","claim-change-1511-1521","Требуется научная проверка источников, периода или геометрии."
"disputes","demo-geometry-interpretation-structure","Нет связанных источников."
"disputes","demo-geometry-interpretation-structure","Только демонстрационная структура, не подтверждённый факт."
"sources","adilet-independence-law","Нет связанных источников."
"sources","adilet-independence-law","Требуется научная проверка источников, периода или геометрии."
"sources","un-kazakhstan","Нет связанных источников."
"sources","un-kazakhstan","Требуется научная проверка источников, периода или геометрии."
"sources","e-history-kazakh-khanate","Нет связанных источников."
"sources","e-history-kazakh-khanate","Требуется научная проверка источников, периода или геометрии."
"sources","e-history-kasym","Нет связанных источников."
"sources","e-history-kasym","Требуется научная проверка источников, периода или геометрии."
"sources","cambridge-kazakh-history","Нет связанных источников."
"sources","cambridge-kazakh-history","Требуется научная проверка источников, периода или геометрии."
"sources","britannica-kazakhstan-history","Нет связанных источников."
"sources","britannica-kazakhstan-history","Требуется научная проверка источников, периода или геометрии."
"sources","britannica-turkic-peoples","Нет связанных источников."
"sources","britannica-turkic-peoples","Требуется научная проверка источников, периода или геометрии."
"sources","unesco-silk-roads","Нет связанных источников."
"sources","unesco-silk-roads","Требуется научная проверка источников, периода или геометрии."
"sources","qhm-p1c-educational-overlay","Нет связанных источников."
"sources","qhm-p1c-educational-overlay","Требуется научная проверка источников, периода или геометрии."
"historicalChanges","kazakh-khanate-1511-to-1521","Требуется научная проверка источников, периода или геометрии."
"stories","formation-and-consolidation-kazakh-khanate","Нет связанных источников."
"stories","formation-and-consolidation-kazakh-khanate","Требуется научная проверка источников, периода или геометрии."
"stories","silk-road-geography","Нет связанных источников."
"stories","silk-road-geography","Требуется научная проверка источников, периода или геометрии."
"stories","historical-evidence","Нет связанных источников."
"stories","historical-evidence","Требуется научная проверка источников, периода или геометрии."
"questions","reconstruction-boundaries","Требуется научная проверка источников, периода или геометрии."
"questions","compare-1465-1511","Требуется научная проверка источников, периода или геометрии."
"questions","formation-sources","Требуется научная проверка источников, периода или геометрии."
"questions","kasym-person","Требуется научная проверка источников, периода или геометрии."
"questions","geography-route-reconstruction","Требуется научная проверка источников, периода или геометрии."
